W,Название,Title,Тип изображения,Изображение на сайте,"Ширина, px","Высота, px",Мегапиксели,Источник,Страница источника
1,Вид в Руэле. Гавр,"View at Rouelles, Le Havre",цветная фотография,https://monet.1vasiliadi.com/img/1600/w1.webp,800,562,0.4,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet,_Claude_-_View_At_Rouelles,_Le_Havre_(1858).jpg"
5,Пейзаж с заводами,Landscape with Factories,цветная фотография,https://monet.1vasiliadi.com/img/1600/w5.webp,2000,1131,2.3,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_-_Paysage_d'usines_W5.jpg
5a,Пейзаж с заводами,Landscape with Factories,скан из каталога,https://monet.1vasiliadi.com/img/1600/w5a.webp,482,290,0.1,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996,_5a.png"
6,Уголок мастерской,Corner of a Studio,цветная фотография,https://monet.1vasiliadi.com/img/1600/w6.webp,2012,2652,5.3,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Claude_monet,_angolo_dello_studio,_1861,_01.JPG"
7,Натюрморт с фазаном,Still Life with Pheasant,цветная фотография,https://monet.1vasiliadi.com/img/1600/w7.webp,453,548,0.2,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet-faisan-mus%C3%A9e_de_rouen.jpg
9,Отбивная,La Côtelette,скан из каталога,https://monet.1vasiliadi.com/img/1600/w9.webp,550,378,0.2,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996,_9.png"
10,Охотничьи трофеи,Hunting Trophy,цветная фотография,https://monet.1vasiliadi.com/img/1600/w10.webp,425,600,0.3,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Trophies-of-the-hunt-Monet.jpg
10a,Натюрморт с куропатками,Still Life with Partridges,скан из каталога,https://monet.1vasiliadi.com/img/1600/w10a.webp,551,382,0.2,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996,_10a.png"
11,Голова собаки,Dog's Head,скан из каталога,https://monet.1vasiliadi.com/img/1600/w11.webp,355,428,0.2,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996,_11.png"
12,Голова борзой,Greyhound's Head,скан из каталога,https://monet.1vasiliadi.com/img/1600/w12.webp,409,339,0.1,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996,_12.png"
13,"Натюрморт с бутылкой, графином, хлебом и вином","Still Life with Bottle, Carafe, Bread and Wine",цветная фотография,https://monet.1vasiliadi.com/img/1600/w13.webp,3840,2527,9.7,National Gallery of Art,https://www.nga.gov/collection/art-object-page.164942.html
14,Натюрморт с мясом,Still Life with Meat,цветная фотография,https://monet.1vasiliadi.com/img/1600/w14.webp,1221,926,1.1,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_-_Stilleben_mit_Fleisch.jpg
15,Голова женщины,Head of a Woman,скан из каталога,https://monet.1vasiliadi.com/img/1600/w15.webp,360,455,0.2,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996,_15.png"
16,Ферма в Нормандии,Farmyard in Normandy,цветная фотография,https://monet.1vasiliadi.com/img/1600/w16.webp,3840,3066,11.8,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Cour_de_ferme_en_Normandie_-_Claude_Monet.jpg
17,Дорога в лесу,Road in a Forest,цветная фотография,https://monet.1vasiliadi.com/img/1600/w17.webp,1600,1156,1.8,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet,_Claude_-_Forest_Road.jpg"
18,Сборщики хвороста на опушке леса,Woodgatherers at the Edge of the Forest,цветная фотография,https://monet.1vasiliadi.com/img/1600/w18.webp,1600,1053,1.7,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Woodgatherers_at_the_Edge_of_the_Forest,_about_1863.jpg"
19,Дорога в Шайи,Le Pavé de Chailly,скан из каталога,https://monet.1vasiliadi.com/img/1600/w19.webp,543,392,0.2,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996,_19.png"
20,Весенние цветы,Spring Flowers,цветная фотография,https://monet.1vasiliadi.com/img/1600/w20.webp,3840,5043,19.4,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Spring_Flowers,_by_Claude_Monet,_Cleveland_Museum_of_Art,_1953.155.jpg"
22,Морской берег в Сент-Адрессе,Seashore at Sainte-Adresse,цветная фотография,https://monet.1vasiliadi.com/img/1600/w22.webp,3840,2145,8.2,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_The_Seashore_at_Sainte-Adresse_-_53.13_-_Minneapolis_Institute_of_Arts.jpg
22a,Этрета,Étretat,цветная фотография,https://monet.1vasiliadi.com/img/1600/w22a.webp,2362,1532,3.6,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Claude_Monet_-_%C3%89tretat,_(1864).jpg"
22b,Этрета. Порт-д’Аваль,Étretat Porte d'Aval,цветная фотография,https://monet.1vasiliadi.com/img/1600/w22b.webp,1569,884,1.4,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:%C3%89tretat,_porte_et_falaise_d'Aval_(1864)_Claude_Monet_(W_22b).jpg"
22c,Вид Сент-Адресса,View of Sainte-Adresse,скан из каталога,https://monet.1vasiliadi.com/img/1600/w22c.webp,573,396,0.2,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996,_97.png"
23,Прибрежный пейзаж,Coastal landscape,цветная фотография,https://monet.1vasiliadi.com/img/1600/w23.webp,3840,2525,9.7,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Claude_Monnet.Coastal_landscape.jpg
